Entity,Code,Year,Nuclear (% equivalent primary energy),Renewables (% equivalent primary energy),Fossil fuels (% equivalent primary energy)
Africa,,1965,0,5.7402806,94.25971
Africa,,1966,0,6.1139693,93.88603
Africa,,1967,0,6.31658,93.68342
Africa,,1968,0,6.994845,93.00515
Africa,,1969,0,7.9439163,92.05608
Africa,,1970,0,9.148895,90.851105
Africa,,1971,0,8.124994,91.87501
Africa,,1972,0,8.747272,91.25273
Africa,,1973,0,8.54162,91.458374
Africa,,1974,0,9.252387,90.74761
Africa,,1975,0,9.228769,90.771225
Africa,,1976,0,9.41638,90.583626
Africa,,1977,0,9.803094,90.19691
Africa,,1978,0,9.518462,90.48154
Africa,,1979,0,9.349527,90.650475
Africa,,1980,0,8.481442,91.518555
Africa,,1981,0,7.8527517,92.14725
Africa,,1982,0,7.3734274,92.62657
Africa,,1983,0,6.456112,93.543884
Africa,,1984,0.5184267,6.1585774,93.32299
Africa,,1985,0.67463315,6.5793424,92.74602
Africa,,1986,1.0949439,6.7159667,92.189095
Africa,,1987,0.7431199,6.243963,93.01292
Africa,,1988,1.1812614,6.3621163,92.45662
Africa,,1989,1.2475647,6.66546,92.08697
Africa,,1990,0.91924953,6.5857716,92.49498
Africa,,1991,0.99597174,6.9810143,92.02302
Africa,,1992,0.9966354,6.5694675,92.43389
Africa,,1993,0.7763485,6.43179,92.79186
Africa,,1994,1.0038406,6.3092456,92.68691
Africa,,1995,1.1244212,6.306244,92.569336
Africa,,1996,1.1424627,6.4332542,92.42428
Africa,,1997,1.2016066,6.465725,92.332664
Africa,,1998,1.2725083,6.676159,92.05133
Africa,,1999,1.1653123,6.858631,91.97606
Africa,,2000,1.1550505,7.2029395,91.64201
Africa,,2001,0.9127996,7.4362373,91.65096
Africa,,2002,1.0015824,7.671944,91.32648
Africa,,2003,1.0024844,7.105203,91.89231
Africa,,2004,0.9791055,6.980063,92.04083
Africa,,2005,0.8196868,7.0285006,92.15182
Africa,,2006,0.7095055,7.1611776,92.12932
Africa,,2007,0.7664567,7.0572457,92.1763
Africa,,2008,0.825949,6.761787,92.41226
Africa,,2009,0.79484254,6.810709,92.39445
Africa,,2010,0.8088605,7.1290402,92.06209
Africa,,2011,0.7602307,7.2594023,91.98038
Africa,,2012,0.72995776,6.9972486,92.2728
Africa,,2013,0.7674118,7.189637,92.04295
Africa,,2014,0.7259775,7.5156765,91.75835
Africa,,2015,0.62680084,7.527505,91.84569
Africa,,2016,0.74426967,7.404274,91.851456
Africa,,2017,0.6762785,7.6419463,91.68178
Africa,,2018,0.53535604,8.005552,91.45909
Africa,,2019,0.59748846,8.356321,91.04618
Africa,,2020,0.4693002,9.415897,90.1148
Africa,,2021,0.5381136,9.152215,90.30968
Africa,,2022,0.4341817,9.298186,90.26763
Africa,,2023,0.3828042,9.826173,89.79102
Africa (EI),,1965,0,5.7402806,94.25971
Africa (EI),,1966,0,6.113969,93.88603
Africa (EI),,1967,0,6.31658,93.68342
Africa (EI),,1968,0,6.994845,93.00515
Africa (EI),,1969,0,7.9439154,92.05608
Africa (EI),,1970,0,9.148896,90.851105
Africa (EI),,1971,0,8.124996,91.87501
Africa (EI),,1972,0,8.7472725,91.25273
Africa (EI),,1973,0,8.54162,91.458374
Africa (EI),,1974,0,9.252388,90.74761
Africa (EI),,1975,0,9.228768,90.77123
Africa (EI),,1976,0,9.416379,90.583626
Africa (EI),,1977,0,9.803097,90.1969
Africa (EI),,1978,0,9.518462,90.48154
Africa (EI),,1979,0,9.349527,90.650475
Africa (EI),,1980,0,8.481442,91.518555
Africa (EI),,1981,0,7.8527517,92.14724
Africa (EI),,1982,0,7.3734274,92.62657
Africa (EI),,1983,0,6.456112,93.543884
Africa (EI),,1984,0.5184267,6.1585774,93.32299
Africa (EI),,1985,0.67463315,6.5793424,92.74602
Africa (EI),,1986,1.0949439,6.7159667,92.189095
Africa (EI),,1987,0.7431199,6.243963,93.01292
Africa (EI),,1988,1.1812614,6.3621163,92.45662
Africa (EI),,1989,1.2475647,6.6654606,92.08697
Africa (EI),,1990,0.9192495,6.5857716,92.49498
Africa (EI),,1991,0.99597174,6.9810143,92.02302
Africa (EI),,1992,0.9966354,6.5694675,92.43389
Africa (EI),,1993,0.7763485,6.43179,92.79186
Africa (EI),,1994,1.0038406,6.3092456,92.68691
Africa (EI),,1995,1.1244212,6.306244,92.569336
Africa (EI),,1996,1.1424627,6.433255,92.42428
Africa (EI),,1997,1.2016066,6.465725,92.332664
Africa (EI),,1998,1.2725083,6.6761603,92.05133
Africa (EI),,1999,1.1653123,6.8586307,91.97606
Africa (EI),,2000,1.1550505,7.2029395,91.64201
Africa (EI),,2001,0.9127996,7.436237,91.65096
Africa (EI),,2002,1.0015824,7.671944,91.32648
Africa (EI),,2003,1.0024843,7.105202,91.89231
Africa (EI),,2004,0.97910535,6.980063,92.04083
