Unnamed: 0,name,iso_code,population
0,Afghanistan,AFG,38928346.0
1,Albania,ALB,2877797.0
2,Algeria,DZA,43851044.0
3,American Samoa,ASM,0.0
4,Angola,AGO,32866272.0
5,Antigua and Barbuda,ATG,97929.0
6,Argentina,ARG,45195774.0
7,Armenia,ARM,2963243.0
8,Aruba,ABW,0.0
9,Australia,AUS,25499884.0
10,Austria,AUT,9006398.0
11,Azerbaijan,AZE,10139177.0
12,Bahamas,BHS,393244.0
13,Bahrain,BHR,1701575.0
14,Bangladesh,BGD,164689383.0
15,Barbados,BRB,287375.0
16,Belarus,BLR,9449323.0
17,Belgium,BEL,11589623.0
18,Belize,BLZ,397628.0
19,Benin,BEN,12123200.0
20,Bermuda,BMU,0.0
21,Bhutan,BTN,771608.0
22,Bolivia,BOL,11673021.0
23,Bosnia and Herzegovina,BIH,3280819.0
24,Botswana,BWA,2351627.0
25,Brazil,BRA,212559417.0
26,British Virgin Islands,VGB,0.0
27,Brunei,BRN,437479.0
28,Bulgaria,BGR,6948445.0
29,Burkina Faso,BFA,20903273.0
30,Burundi,BDI,11890784.0
31,Cambodia,KHM,16718965.0
32,Cameroon,CMR,26545863.0
33,Canada,CAN,37742154.0
34,Cape Verde,CPV,555987.0
35,Cayman Islands,CYM,0.0
36,Central African Republic,CAF,4829767.0
37,Chad,TCD,16425864.0
38,Chile,CHL,19116201.0
39,China,CHN,1439323776.0
40,Colombia,COL,50882891.0
41,Comoros,COM,869601.0
42,Congo,COG,89561403.0
43,Cook Islands,COK,0.0
44,Costa Rica,CRI,5094118.0
45,Cote d'Ivoire,CIV,26378274.0
46,Croatia,HRV,4105267.0
47,Cuba,CUB,11326616.0
48,Cyprus,CYP,1207359.0
49,Czechia,CZE,10708981.0
50,Democratic Republic of Congo,COD,0.0
51,Denmark,DNK,5792202.0
52,Djibouti,DJI,988000.0
53,Dominica,DMA,71986.0
54,Dominican Republic,DOM,10847910.0
55,Ecuador,ECU,17643054.0
56,Egypt,EGY,102334404.0
57,El Salvador,SLV,6486205.0
58,Equatorial Guinea,GNQ,1402985.0
59,Eritrea,ERI,3546421.0
60,Estonia,EST,1326535.0
61,Eswatini,SWZ,1160164.0
62,Ethiopia,ETH,114963588.0
63,Faeroe Islands,FRO,0.0
64,Falkland Islands,FLK,0.0
65,Fiji,FJI,896445.0
66,Finland,FIN,5540720.0
67,France,FRA,65273511.0
68,French Guiana,GUF,0.0
69,French Polynesia,PYF,0.0
70,Gabon,GAB,2225734.0
71,Gambia,GMB,2416668.0
72,Georgia,GEO,3989167.0
73,Germany,DEU,83783942.0
74,Ghana,GHA,31072940.0
75,Gibraltar,GIB,0.0
76,Greece,GRC,10423054.0
77,Greenland,GRL,0.0
78,Grenada,GRD,112523.0
79,Guadeloupe,GLP,0.0
80,Guam,GUM,0.0
81,Guatemala,GTM,17915568.0
82,Guinea,GIN,13132795.0
83,Guinea-Bissau,GNB,1968001.0
84,Guyana,GUY,786552.0
85,Haiti,HTI,11402528.0
86,Honduras,HND,9904607.0
87,Hong Kong,HKG,0.0
88,Hungary,HUN,9660351.0
89,Iceland,ISL,341243.0
90,India,IND,1380004385.0
91,Indonesia,IDN,273523615.0
92,Iran,IRN,83992949.0
93,Iraq,IRQ,40222493.0
94,Ireland,IRL,4937786.0
95,Israel,ISR,8655535.0
96,Italy,ITA,60461826.0
97,Jamaica,JAM,2961167.0
98,Japan,JPN,126476461.0
99,Jordan,JOR,10203134.0
100,Kazakhstan,KAZ,18776707.0
101,Kenya,KEN,53771296.0
102,Kiribati,KIR,119449.0
103,Kuwait,KWT,4270571.0
104,Kyrgyzstan,KGZ,6524195.0
105,Laos,LAO,7275560.0
106,Latvia,LVA,1886198.0
107,Lebanon,LBN,6825445.0
108,Lesotho,LSO,2142249.0
109,Liberia,LBR,5057681.0
110,Libya,LBY,6871292.0
111,Lithuania,LTU,2722289.0
112,Luxembourg,LUX,625978.0
113,Macao,MAC,0.0
114,Madagascar,MDG,27691018.0
115,Malawi,MWI,19129952.0
116,Malaysia,MYS,32365999.0
117,Maldives,MDV,540544.0
118,Mali,MLI,20250833.0
119,Malta,MLT,441543.0
120,Martinique,MTQ,0.0
121,Mauritania,MRT,4649658.0
122,Mauritius,MUS,1271768.0
123,Mexico,MEX,128932753.0
124,Moldova,MDA,4033963.0
125,Mongolia,MNG,3278290.0
126,Montenegro,MNE,628066.0
127,Montserrat,MSR,0.0
128,Morocco,MAR,36910560.0
129,Mozambique,MOZ,31255435.0
130,Myanmar,MMR,54409800.0
131,Namibia,NAM,2540905.0
132,Nauru,NRU,10824.0
133,Nepal,NPL,29136808.0
134,Netherlands,NLD,17134872.0
135,New Caledonia,NCL,0.0
136,New Zealand,NZL,4822233.0
137,Nicaragua,NIC,6624554.0
138,Niger,NER,24206644.0
139,Nigeria,NGA,206139589.0
140,Niue,NIU,0.0
141,North Korea,PRK,25778816.0
142,North Macedonia,MKD,2083374.0
143,Norway,NOR,5421241.0
144,Oman,OMN,5106626.0
145,Pakistan,PAK,220892340.0
146,Palestine,PSE,5101414.0
147,Panama,PAN,4314767.0
