country,iso_code,year,wind,hydro,solar,other_inc_bio
Afghanistan,AFG,2023,0.0,0.75,0.09,0.0
Albania,ALB,2023,0.0,8.71,0.3,0.0
Albania,ALB,2024,0.0,7.13,0.34,0.0
Algeria,DZA,2023,0.02,0.02,0.87,0.0
American Samoa,ASM,2023,0.0,0.0,0.0,0.0
Angola,AGO,2023,0.0,13.27,0.39,0.05
Antigua and Barbuda,ATG,2023,0.0,0.0,0.02,0.0
Argentina,ARG,2023,14.48,29.9,3.27,2.28
Armenia,ARM,2023,0.0,1.65,0.77,0.0
Australia,AUS,2023,31.87,15.26,44.99,3.13
Austria,AUT,2023,8.34,40.67,6.39,4.56
Austria,AUT,2024,9.44,45.18,8.82,5.09
Azerbaijan,AZE,2023,0.08,1.64,0.07,0.11
Bahrain,BHR,2023,0.0,0.0,0.09,0.0
Bangladesh,BGD,2023,0.0,0.65,1.07,0.0
Barbados,BRB,2023,0.0,0.0,0.09,0.0
Belarus,BLR,2023,0.19,0.39,0.23,0.53
Belarus,BLR,2024,0.19,0.42,0.23,0.57
Belgium,BEL,2023,15.46,0.41,7.82,3.8
Belgium,BEL,2024,14.0,0.33,8.93,3.5
Belize,BLZ,2023,0.0,0.24,0.01,0.15
Benin,BEN,2023,0.0,0.0,0.03,0.0
Bermuda,BMU,2023,0.0,0.0,0.0,0.01
Bhutan,BTN,2023,0.0,11.16,0.0,0.0
Bolivia,BOL,2023,0.44,2.97,0.35,0.42
Bosnia Herzegovina,BIH,2023,0.26,6.11,0.2,0.03
Bosnia Herzegovina,BIH,2024,0.24,5.02,0.37,0.03
Botswana,BWA,2023,0.0,0.0,0.01,0.0
Brazil,BRA,2023,95.51,428.65,51.48,55.83
Virgin Islands (British),VGB,2023,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,2023,0.0,0.0,0.0,0.0
Bulgaria,BGR,2023,1.61,3.08,3.52,1.87
Bulgaria,BGR,2024,1.47,2.9,5.34,1.82
Burkina Faso,BFA,2023,0.0,0.12,0.09,0.09
Burundi,BDI,2023,0.0,0.26,0.0,0.01
Cambodia,KHM,2023,0.0,5.32,0.8,0.01
Cameroon,CMR,2023,0.0,5.26,0.02,0.04
Canada,CAN,2023,38.94,364.2,7.64,10.38
Cayman Islands,CYM,2023,0.0,0.0,0.02,0.0
Chile,CHL,2023,9.91,26.26,16.66,4.140000000000001
China,CHN,2023,885.87,1226.0,584.15,198.13
Colombia,COL,2023,0.06,56.19,1.13,2.27
Comoros,COM,2023,0.0,0.0,0.0,0.0
Congo,COG,2023,0.0,1.05,0.01,0.01
Costa Rica,CRI,2023,1.49,8.54,0.08,1.59
Cote d'Ivoire,CIV,2023,0.0,3.35,0.02,0.09
Croatia,HRV,2023,2.38,8.16,0.41,1.07
Croatia,HRV,2024,2.47,6.79,0.86,1.07
Cuba,CUB,2023,0.06,0.12,0.21,0.33
Cyprus,CYP,2023,0.19,0.0,0.83,0.05
Cyprus,CYP,2024,0.2,0.0,1.13,0.05
Czechia,CZE,2023,0.71,2.36,2.89,5.19
Czechia,CZE,2024,0.68,2.61,4.0,5.199999999999999
Congo (DRC),COD,2023,0.0,13.67,2.2,0.03
Denmark,DNK,2023,19.51,0.02,3.36,6.44
Denmark,DNK,2024,20.53,0.02,3.99,6.68
Djibouti,DJI,2023,0.07,0.0,0.0,0.0
Dominica,DMA,2023,0.0,0.02,0.0,0.0
Dominican Republic,DOM,2023,1.2,1.47,1.36,0.21
Ecuador,ECU,2023,0.06,25.73,0.04,0.39
Egypt,EGY,2023,5.74,13.82,5.24,0.0
El Salvador,SLV,2023,0.14,2.01,1.24,2.5
Equatorial Guinea,GNQ,2023,0.0,0.49,0.0,0.0
Eritrea,ERI,2023,0.0,0.0,0.05,0.0
Estonia,EST,2023,0.79,0.02,0.72,1.38
Estonia,EST,2024,1.16,0.02,0.92,1.32
Eswatini,SWZ,2023,0.0,0.3,0.03,0.21
Ethiopia,ETH,2023,0.56,17.62,0.04,0.04
Faroe Islands,FRO,2024,0.1,0.12,0.0,0.0
Fiji,FJI,2023,0.0,0.6,0.01,0.12
Finland,FIN,2023,14.93,15.2,0.72,11.34
Finland,FIN,2024,20.37,14.23,1.23,10.4
France,FRA,2023,48.05,56.66,21.82,10.48
France,FRA,2024,43.03,69.29,23.57,10.32
Gabon,GAB,2023,0.0,1.52,0.0,0.01
Gambia,GMB,2023,0.0,0.0,0.0,0.0
Georgia,GEO,2023,0.09,10.86,0.0,0.0
Germany,DEU,2023,137.48,19.89,61.22,46.099999999999994
Germany,DEU,2024,133.44,23.41,70.99,46.099999999999994
Ghana,GHA,2023,0.0,9.19,0.15,0.02
Gibraltar,GIB,2023,0.0,0.0,0.0,0.0
Gibraltar,GIB,2024,0.0,0.0,0.0,0.0
