,iso_code,year,wind,hydro,solar,other_inc_bio,fk_country
0,ABW,2000,0.0,0.0,0.0,0.0,8
1,ABW,2001,0.0,0.0,0.0,0.0,8
2,ABW,2002,0.0,0.0,0.0,0.0,8
3,ABW,2003,0.0,0.0,0.0,0.0,8
4,ABW,2004,0.0,0.0,0.0,0.0,8
5,ABW,2005,0.0,0.0,0.0,0.0,8
6,ABW,2006,0.0,0.0,0.0,0.0,8
7,ABW,2007,0.0,0.0,0.0,0.0,8
8,ABW,2008,0.0,0.0,0.0,0.0,8
9,ABW,2009,0.03,0.0,0.0,0.0,8
10,ABW,2010,0.11,0.0,0.0,0.0,8
11,ABW,2011,0.11,0.0,0.0,0.0,8
12,ABW,2012,0.14,0.0,0.0,0.0,8
13,ABW,2013,0.15,0.0,0.0,0.0,8
14,ABW,2014,0.15,0.0,0.01,0.0,8
15,ABW,2015,0.17,0.0,0.01,0.0,8
16,ABW,2016,0.13,0.0,0.01,0.0,8
17,ABW,2017,0.13,0.0,0.01,0.0,8
18,ABW,2018,0.14,0.0,0.01,0.0,8
19,ABW,2019,0.14,0.0,0.01,0.0,8
20,ABW,2020,0.14,0.0,0.01,0.0,8
21,ABW,2021,0.14,0.0,0.01,0.0,8
22,ABW,2022,0.14,0.0,0.03,0.0,8
23,AFG,2000,0.0,0.31,0.0,0.0,0
24,AFG,2001,0.0,0.5,0.0,0.0,0
25,AFG,2002,0.0,0.56,0.0,0.0,0
26,AFG,2003,0.0,0.63,0.0,0.0,0
27,AFG,2004,0.0,0.56,0.0,0.0,0
28,AFG,2005,0.0,0.59,0.0,0.0,0
29,AFG,2006,0.0,0.64,0.0,0.0,0
30,AFG,2007,0.0,0.75,0.0,0.0,0
31,AFG,2008,0.0,0.54,0.0,0.0,0
32,AFG,2009,0.0,0.78,0.0,0.0,0
33,AFG,2010,0.0,0.75,0.0,0.0,0
34,AFG,2011,0.0,0.6,0.0,0.0,0
35,AFG,2012,0.0,0.71,0.03,0.0,0
36,AFG,2013,0.0,0.86,0.03,0.0,0
37,AFG,2014,0.0,0.97,0.03,0.0,0
38,AFG,2015,0.0,1.0,0.03,0.0,0
39,AFG,2016,0.0,1.02,0.04,0.0,0
40,AFG,2017,0.0,1.05,0.04,0.0,0
41,AFG,2018,0.0,0.93,0.04,0.0,0
42,AFG,2019,0.0,0.84,0.05,0.0,0
43,AFG,2020,0.0,0.62,0.06,0.0,0
