iso_code,year,gdp_constant,gdp_per_capita_constant,fk_country
ABW,1986,1040067813.98127,17354.4211506779,8
ABW,1987,1207294403.71186,20407.620205072,8
ABW,1988,1432438495.45132,24143.1712840053,8
ABW,1989,1606191000.85752,26573.6479138613,8
ABW,1990,1669818678.8499,26609.3840748633,8
ABW,1991,1802784198.40914,27358.0217070709,8
ABW,1992,1908830345.97587,27662.2034052006,8
ABW,1993,2048321812.23325,27798.3553265013,8
ABW,1994,2216364111.87433,28563.2336087935,8
ABW,1995,2272818090.43191,28479.6452657341,8
ABW,1996,2299768906.23206,27701.0504117279,8
ABW,1997,2461830746.1686,28526.0975674511,8
ABW,1998,2510870031.79451,28387.1299566371,8
ABW,1999,2541955653.38816,28351.3719022982,8
ABW,2000,2735726915.78639,30199.6612772816,8
ABW,2001,2850135060.01,31169.7969138989,8
ABW,2002,2823202609.54275,30662.3217145204,8
ABW,2003,2854554404.37331,30651.9457560917,8
ABW,2004,3062757840.26596,32192.7919471291,8
ABW,2005,3051023261.17582,31249.2780373413,8
ABW,2006,3085420847.19517,31038.8898666583,8
ABW,2007,3180746293.72871,31759.8232024833,8
ABW,2008,3239137008.32128,32097.0402243555,8
ABW,2009,2860878965.88948,28157.1489891095,8
ABW,2010,2782678075.47099,27324.5554259804,8
ABW,2011,2876433099.90676,28037.8697927378,8
ABW,2012,2846495187.52904,27341.2274279996,8
ABW,2013,3029567030.34403,28668.7204196265,8
ABW,2014,2981500673.04632,27914.8433440348,8
ABW,2015,2962907262.56983,27458.2253310273,8
ABW,2016,3013858155.98809,27719.5007310796,8
ABW,2017,3226290954.32065,29671.13582858,8
ABW,2018,3303627899.75438,30334.1159488227,8
ABW,2019,3229876376.13191,29576.8099423267,8
ABW,2020,2383266968.91162,21947.9953301189,8
ABW,2021,2958411905.44105,27469.0056215511,8
ABW,2022,3210407008.76028,29917.1280287045,8
AFG,2000,6206547590.07403,308.318269746638,0
AFG,2001,5621147630.73068,277.118051443941,0
AFG,2002,7228795918.92525,338.139973643387,0
AFG,2003,7867263256.28817,346.071627096223,0
AFG,2004,7978515641.58304,338.637273888197,0
AFG,2005,8874480195.58321,363.640141436773,0
AFG,2006,9349921885.77888,367.75831169358,0
AFG,2007,10642671963.1135,410.757728879097,0
AFG,2008,11060395115.6809,417.647282647498,0
AFG,2009,13426272073.2398,488.830652491949,0
AFG,2010,15354612541.5059,542.871030476037,0
AFG,2011,15420077665.5323,525.42698276582,0
AFG,2012,17386490239.3536,568.929021458341,0
AFG,2013,18360263162.7578,580.603833333096,0
AFG,2014,18860496494.0404,575.146245808546,0
AFG,2015,19134221644.7325,565.569730408751,0
AFG,2016,19566715174.1633,563.872336723147,0
AFG,2017,20084646751.4954,562.769574140988,0
AFG,2018,20323499020.3639,553.125151688293,0
AFG,2019,21118473702.3471,557.861533207459,0
AFG,2020,20621957125.2077,527.834554499306,0
AFG,2021,16345202562.5485,408.625855217403,0
AFG,2022,15325233810.1388,377.665627080705,0
AGO,1980,23063262074.1287,2835.45918525994,4
AGO,1981,22048478261.8064,2613.73938612911,4
AGO,1982,22048478261.8064,2519.35158518789,4
AGO,1983,22974514663.7731,2529.40192266936,4
AGO,1984,24352986041.0185,2583.61982616848,4
AGO,1985,25205340428.2749,2577.46509177461,4
AGO,1986,25936295739.8901,2557.95883799319,4
AGO,1987,26995209500.2078,2571.49691872454,4
AGO,1988,28649716324.6879,2637.78185527742,4
AGO,1989,28661640755.4345,2550.29431304775,4
AGO,1990,27672785864.6311,2380.17624300565,4
AGO,1991,27947122601.4351,2324.36937619854,4
AGO,1992,26315491127.1309,2118.16654532324,4
AGO,1993,20004137038.1834,1559.517151584,4
AGO,1994,20272065135.4562,1529.994431256,4
AGO,1995,23312874911.6258,1701.69727652709,4
AGO,1996,26470456890.2009,1867.93503101029,4
AGO,1997,28395991341.425,1936.91619338589,4
AGO,1998,29728088881.4462,1961.03722525713,4
AGO,1999,30376604083.8731,1938.86184025918,4
AGO,2000,31304495193.7788,1932.98847886814,4
AGO,2001,32621161809.6533,1947.85672988915,4
AGO,2002,37079068252.7358,2139.87259662901,4
AGO,2003,38187732393.4926,2128.19579323903,4
AGO,2004,42369289092.8509,2277.86696532928,4
AGO,2005,48737393239.5031,2526.41057941008,4
AGO,2006,54366562157.632,2716.25302638209,4
AGO,2007,61983317520.5949,2983.0418728513,4
AGO,2008,68906854084.0594,3193.28772270836,4
AGO,2009,69499453030.6657,3100.60927365473,4
AGO,2010,72556300249.883,3114.69608592822,4
AGO,2011,75075493556.7676,3099.9422899117,4
AGO,2012,81488522604.1031,3236.57494513146,4
AGO,2013,85525963563.9192,3268.63890723473,4
AGO,2014,89650503847.7041,3300.73510980871,4
AGO,2015,90496420506.5957,3213.90261080059,4
AGO,2016,88161567931.4379,3020.98332805417,4
AGO,2017,88031782694.3787,2911.60084214038,4
AGO,2018,86872966032.8735,2775.74642272991,4
AGO,2019,86262880684.9456,2664.43850995544,4
AGO,2020,81399194250.7301,2433.37637275564,4
AGO,2021,82375341952.5616,2385.44881834294,4
AGO,2022,84883445838.1604,2382.02263952585,4
ALB,1980,4650626378.8948,1740.50583847766,1
ALB,1981,4917834409.43272,1804.01077946774,1
ALB,1982,5062841517.51705,1818.36782013759,1
ALB,1983,5118782790.58601,1799.87861664229,1
ALB,1984,5054716276.96241,1740.3476817517,1
ALB,1985,5144722777.00532,1735.2903123439,1
ALB,1986,5434743310.80588,1798.01507982468,1
ALB,1987,5391926084.81754,1748.57872030222,1
ALB,1988,5315358596.20905,1691.53094901661,1
ALB,1989,5838206447.55577,1808.64607818532,1
ALB,1990,5279160805.75993,1606.29646776458,1
ALB,1991,3800882718.68776,1163.49159838489,1
ALB,1992,3527709061.94659,1086.4387714304,1
ALB,1993,3864937294.2247,1197.58090750054,1
ALB,1994,4185837881.82175,1305.00106057165,1
ALB,1995,4743489156.74337,1488.02088119627,1
ALB,1996,5175146643.27572,1633.55200001885,1
ALB,1997,4610021453.80966,1464.29796254199,1
ALB,1998,5017059783.31958,1603.64765027651,1
ALB,1999,5663799108.52767,1821.87313102694,1
ALB,2000,6057218861.96683,1960.88245974115,1
ALB,2001,6559562958.94637,2143.52683947815,1
ALB,2002,6857139117.39279,2247.49808010881,1
ALB,2003,7236245479.6585,2380.64462078713,1
ALB,2004,7635300387.08491,2522.44937446209,1
ALB,2005,8057259479.00459,2675.50863709675,1
ALB,2006,8532852033.68952,2851.36775919961,1
ALB,2007,9043394715.19952,3044.89661682055,1
ALB,2008,9721653065.53613,3298.47890843532,1
ALB,2009,10047745438.9452,3432.1708719722,1
ALB,2010,10420209148.0929,3577.11432498868,1
ALB,2011,10685445792.0183,3678.04770145146,1
ALB,2012,10836884503.1437,3736.34007957648,1
ALB,2013,10945471986.7318,3780.69919254096,1
ALB,2014,11139693788.8124,3855.76074409659,1
ALB,2015,11386853113.0189,3952.80357364813,1
ALB,2016,11764325094.2129,4090.37272829183,1
ALB,2017,12211675169.6845,4249.8200493985,1
ALB,2018,12702504600.374,4431.55559506989,1
