year,wind,hydro,solar,other_inc_bio,fk_country,gdp_constant,gdp_per_capita_constant,elec_prod_nuclear,elec_prod_fossil,elec_prod_renewable,energy_cons_nuclear,energy_cons_renewable,energy_cons_fossil,population
2000,0.0,0.31,0.0,0.0,0,6206547590.07403,308.318269746638,0.0,35.416668,64.583336,,,,19542986.0
2001,0.0,0.5,0.0,0.0,0,5621147630.73068,277.118051443941,0.0,27.536232,72.46377,,,,19688634.0
2002,0.0,0.56,0.0,0.0,0,7228795918.92525,338.139973643387,0.0,21.126762,78.873245,,,,21000258.0
2003,0.0,0.63,0.0,0.0,0,7867263256.28817,346.071627096223,0.0,30.76923,69.23077,,,,22645136.0
2004,0.0,0.56,0.0,0.0,0,7978515641.58304,338.637273888197,0.0,29.113924,70.88607,,,,23553554.0
2005,0.0,0.59,0.0,0.0,0,8874480195.58321,363.640141436773,0.0,28.04878,71.95122,,,,24411196.0
2006,0.0,0.64,0.0,0.0,0,9349921885.77888,367.75831169358,0.0,28.88889,71.111115,,,,25442946.0
2007,0.0,0.75,0.0,0.0,0,10642671963.1135,410.757728879097,0.0,25.742575,74.25742,,,,25903306.0
2008,0.0,0.54,0.0,0.0,0,11060395115.6809,417.647282647498,0.0,30.769232,69.230774,,,,26427204.0
2009,0.0,0.78,0.0,0.0,0,13426272073.2398,488.830652491949,0.0,12.35955,87.64045,,,,27385310.0
2010,0.0,0.75,0.0,0.0,0,15354612541.5059,542.871030476037,0.0,14.772727,85.22727,,,,28189672.0
2011,0.0,0.6,0.0,0.0,0,15420077665.5323,525.42698276582,0.0,22.077923,77.92208,,,,29249156.0
2012,0.0,0.71,0.03,0.0,0,17386490239.3536,568.929021458341,0.0,15.909091,84.09091,,,,30466484.0
2013,0.0,0.86,0.03,0.0,0,18360263162.7578,580.603833333096,0.0,19.81982,80.180176,,,,31541216.0
2014,0.0,0.97,0.03,0.0,0,18860496494.0404,575.146245808546,0.0,13.793104,86.2069,,,,32716214.0
2015,0.0,1.0,0.03,0.0,0,19134221644.7325,565.569730408751,0.0,12.711865,87.28814,,,,33753500.0
2016,0.0,1.02,0.04,0.0,0,19566715174.1633,563.872336723147,0.0,12.396694,87.603294,,,,34636212.0
2017,0.0,1.05,0.04,0.0,0,20084646751.4954,562.769574140988,0.0,13.4920635,86.507935,,,,35643420.0
2018,0.0,0.93,0.04,0.0,0,20323499020.3639,553.125151688293,0.0,17.094017,82.90598,,,,36686788.0
2019,0.0,0.84,0.05,0.0,0,21118473702.3471,557.861533207459,0.0,16.82243,83.17757,,,,37769496.0
2020,0.0,0.62,0.06,0.0,0,20621957125.2077,527.834554499306,0.0,15.0,85.0,,,,38972236.0
2021,0.0,0.62,0.08,0.0,0,16345202562.5485,408.625855217403,0.0,15.662651,84.33735,,,,40099460.0
2022,0.0,0.74,0.09,0.0,0,15325233810.1388,377.665627080705,0.0,15.662651,84.33735,,,,41128772.0
2023,0.0,0.75,0.09,0.0,0,,,,,,,,,
1985,,,,,1,5144722777.00532,1735.2903123439,,,,,,,
1986,,,,,1,5434743310.80588,1798.01507982468,,,,,,,
1987,,,,,1,5391926084.81754,1748.57872030222,,,,,,,
1988,,,,,1,5315358596.20905,1691.53094901661,,,,,,,
1989,,,,,1,5838206447.55577,1808.64607818532,,,,,,,
1990,0.0,2.85,0.0,0.0,1,5279160805.75993,1606.29646776458,,,,,,,
1991,0.0,3.52,0.0,0.0,1,3800882718.68776,1163.49159838489,,,,,,,
1992,0.0,3.23,0.0,0.0,1,3527709061.94659,1086.4387714304,,,,,,,
1993,0.0,3.31,0.0,0.0,1,3864937294.2247,1197.58090750054,,,,,,,
1994,0.0,3.77,0.0,0.0,1,4185837881.82175,1305.00106057165,,,,,,,
1995,0.0,4.2,0.0,0.0,1,4743489156.74337,1488.02088119627,,,,,,,
1996,0.0,5.73,0.0,0.0,1,5175146643.27572,1633.55200001885,,,,,,,
1997,0.0,5.03,0.0,0.0,1,4610021453.80966,1464.29796254199,,,,,,,
1998,0.0,4.92,0.0,0.0,1,5017059783.31958,1603.64765027651,,,,,,,
1999,0.0,5.28,0.0,0.0,1,5663799108.52767,1821.87313102694,,,,,,,
2000,0.0,4.59,0.0,0.0,1,6057218861.96683,1960.88245974115,0.0,3.805497,96.19451,,,,3182027.0
2001,0.0,3.56,0.0,0.0,1,6559562958.94637,2143.52683947815,0.0,4.607046,95.39295,,,,3153615.0
2002,0.0,3.51,0.0,0.0,1,6857139117.39279,2247.49808010881,0.0,6.199461,93.80054,,,,3123554.0
2003,0.0,4.89,0.0,0.0,1,7236245479.6585,2380.64462078713,0.0,2.1032505,97.89675,,,,3092993.0
2004,0.0,5.47,0.0,0.0,1,7635300387.08491,2522.44937446209,0.0,2.5225224,97.47747,,,,3062629.0
2005,0.0,5.37,0.0,0.0,1,8057259479.00459,2675.50863709675,0.0,1.2987013,98.7013,,,,3032636.0
2006,0.0,5.43,0.0,0.0,1,8532852033.68952,2851.36775919961,0.0,1.7857143,98.21428,,,,3003391.0
2007,0.0,2.79,0.0,0.0,1,9043394715.19952,3044.89661682055,0.0,2.4734983,97.526505,,,,2976089.0
2008,0.0,3.8,0.0,0.0,1,9721653065.53613,3298.47890843532,0.0,0.0,100.0,,,,2951690.0
2009,0.0,5.2,0.0,0.0,1,10047745438.9452,3432.1708719722,0.0,0.0,100.0,,,,2930553.0
2010,0.0,7.57,0.0,0.0,1,10420209148.0929,3577.11432498868,0.0,0.0,100.0,,,,2913402.0
2011,0.0,4.13,0.0,0.0,1,10685445792.0183,3678.04770145146,0.0,1.4319808,98.568016,,,,2900660.0
2012,0.0,4.72,0.0,0.0,1,10836884503.1437,3736.34007957648,0.0,0.0,100.0,,,,2892191.0
2013,0.0,6.96,0.0,0.0,1,10945471986.7318,3780.69919254096,0.0,0.0,100.0,,,,2887019.0
2014,0.0,4.72,0.0,0.0,1,11139693788.8124,3855.76074409659,0.0,0.0,100.0,,,,2884100.0
2015,0.0,5.89,0.0,0.0,1,11386853113.0189,3952.80357364813,0.0,0.0,100.0,,,,2882482.0
2016,0.0,7.78,0.0,0.0,1,11764325094.2129,4090.37272829183,0.0,0.0,100.0,,,,2881064.0
2017,0.0,4.52,0.0,0.0,1,12211675169.6845,4249.8200493985,0.0,0.0,100.0,,,,2879361.0
2018,0.0,8.55,0.0,0.0,1,12702504600.374,4431.55559506989,0.0,0.0,100.0,,,,2877019.0
2019,0.0,5.18,0.02,0.0,1,12964502337.0284,4542.26866282892,0.0,0.0,100.0,,,,2873883.0
2020,0.0,5.28,0.03,0.0,1,12534895529.6924,4417.04105105395,0.0,0.0,100.0,,,,2866850.0
2021,,,,,1,13659219676.8332,4858.05201500931,0.0,0.0,100.0,,,,2854710.0
2022,0.0,6.81,0.16,0.0,1,14318507636.8055,5154.8274975368,0.0,0.0,100.0,,,,2842318.0
2023,0.0,8.71,0.3,0.0,1,,,,,,,,,
2024,0.0,7.13,0.34,0.0,1,,,,,,,,,
1985,0.0,0.646,0.0,0.0,2,88090434111.7172,4002.55619416338,0.0,,,0.0,0.72826535,99.271736,22132910.0
1986,0.0,0.25,0.0,0.0,2,88442796731.5346,3888.36475873906,0.0,,,0.0,0.2664045,99.73359,22882560.0
1987,0.0,0.499,0.0,0.0,2,87823699342.291,3746.16566714647,0.0,,,0.0,0.5174274,99.482574,23586098.0
1988,0.0,0.183,0.0,0.0,2,86945457526.7687,3606.26838802575,0.0,,,0.0,0.17717436,99.82282,24243024.0
1989,0.0,0.226,0.0,0.0,2,90771059536.4893,3666.85307880529,0.0,,,0.0,0.2249582,99.77505,24889516.0
1990,0.0,0.135,0.0,0.0,2,91497228539.4122,3605.68701213527,0.0,,0.8383011,0.0,0.1267387,99.87326,25518074.0
1991,0.0,0.293,0.0,0.0,2,90399261261.5479,3478.5097627463,0.0,,1.6892477,0.0,0.277607,99.72239,26133906.0
